Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average
Gloomhaven,2017,1,4,120,14,42055,8
Pandemic Legacy: Season 1,2015,2,4,60,13,41643,8
Brass: Birmingham,2018,2,4,120,14,19217,8
Terraforming Mars,2016,1,5,120,12,64864,8
Twilight Imperium: Fourth Edition,2017,3,6,480,14,13468,8
Gloomhaven: Jaws of the Lion,2020,1,4,120,14,8392,8
Through the Ages: A New Story of Civilization,2015,2,4,120,14,23061,8
Gaia Project,2017,1,4,150,12,16352,8
Star Wars: Rebellion,2016,2,4,240,14,23081,8
Twilight Struggle,2005,2,2,180,13,40814,8
Great Western Trail,2016,2,4,150,12,29457,8
War of the Ring: Second Edition,2012,2,4,180,13,13725,8
Spirit Island,2017,1,4,120,13,25722,8
Scythe,2016,1,5,115,14,57871,8
The Castles of Burgundy,2011,2,4,90,12,46507,8
Terra Mystica,2012,2,5,150,12,39284,8
7 Wonders Duel,2015,2,2,30,10,60302,8
Concordia,2013,2,5,100,13,28105,8
Brass: Lancashire,2007,2,4,120,14,19400,8
Wingspan,2019,1,5,70,10,43165,8
A Feast for Odin,2016,1,4,120,12,17377,8
Arkham Horror: The Card Game,2016,1,2,120,14,28577,8
Viticulture Essential Edition,2015,1,6,90,13,29486,8
Nemesis,2018,1,5,180,12,12290,8
Orléans,2014,2,4,90,12,22244,8
Mage Knight Board Game,2011,1,4,240,14,27850,8
Root,2018,2,4,90,10,24412,8
Puerto Rico,2002,3,5,150,12,63128,7
Food Chain Magnate,2015,2,5,240,14,13863,8
Caverna: The Cave Farmers,2013,1,7,210,12,28123,8
Agricola,2007,1,5,150,12,63498,7
Blood Rage,2015,2,4,90,14,33940,8
Mansions of Madness: Second Edition,2016,1,5,180,14,25116,8
The 7th Continent,2017,1,4,1000,14,16868,8
Pandemic Legacy: Season 2,2017,2,4,60,14,12100,8
Everdell,2018,1,4,80,13,19552,8
Maracaibo,2019,1,4,120,12,7645,8
Kingdom Death: Monster,2015,1,4,180,17,7553,8
Power Grid,2004,2,6,120,12,56214,7
Tzolk'in: The Mayan Calendar,2012,2,4,90,13,30790,7
The Crew: The Quest for Planet Nine,2019,2,5,20,10,15027,8
Mechs vs. Minions,2016,2,4,120,14,14056,8
Underwater Cities,2018,1,4,150,12,9979,8
Star Wars: Imperial Assault,2014,1,5,120,14,20512,8
Clans of Caledonia,2017,1,4,120,12,14835,8
Anachrony,2017,1,4,120,15,11585,8
Le Havre,2008,1,5,150,12,26494,7
Too Many Bones,2017,1,4,120,12,6055,8
Through the Ages: A Story of Civilization,2006,2,4,120,12,18004,7
Azul,2017,2,4,45,8,53615,7
Marvel Champions: The Card Game,2019,1,4,90,14,9616,8
Eclipse,2011,2,6,180,14,26165,7
Clank! Legacy: Acquisitions Incorporated,2019,2,4,120,13,3295,8
Android: Netrunner,2012,2,2,45,14,26748,7
Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,120,14,34179,7
The Voyages of Marco Polo,2015,2,4,100,12,20240,7
The Gallerist,2015,1,4,150,13,9705,8
Barrage,2019,1,4,120,14,6500,8
Race for the Galaxy,2007,2,4,60,12,46393,7
Fields of Arle,2014,1,2,120,13,8111,8
7 Wonders,2010,2,7,30,10,84371,7
Teotihuacan: City of Gods,2018,1,4,120,14,12970,7
Clank!: A Deck-Building Adventure,2016,2,4,60,12,27893,7
The Quacks of Quedlinburg,2018,2,4,45,10,22327,7
Crokinole,1876,2,4,30,8,12197,7
Five Tribes,2014,2,4,80,13,32265,7
Dominant Species,2010,2,6,240,14,18018,7
On Mars,2020,1,4,150,14,5781,8
Lisboa,2017,1,4,120,12,6693,8
Aeon's End,2016,1,4,60,14,10899,8
Lords of Waterdeep,2012,2,5,120,12,45929,7
Paladins of the West Kingdom,2019,1,4,120,12,8248,8
Keyflower,2012,2,6,120,12,19003,7
Agricola (Revised Edition),2016,1,4,120,12,9491,8
Pax Pamir: Second Edition,2019,1,5,120,13,4373,8
Tainted Grail: The Fall of Avalon,2019,1,4,120,14,6134,8
Caylus,2005,2,5,150,12,26796,7
Architects of the West Kingdom,2018,1,5,80,12,16886,7
El Grande,1995,2,5,120,12,23545,7
Twilight Imperium: Third Edition,2005,3,6,240,14,18302,7
Battlestar Galactica: The Board Game,2008,3,6,180,14,32889,7
Eldritch Horror,2013,1,8,240,14,29347,7
Troyes,2010,2,4,90,12,18930,7
Rising Sun,2018,3,5,120,14,15767,7
Dominion: Intrigue,2009,2,4,30,13,30118,7
Mombasa,2015,2,4,150,12,10954,7
Grand Austria Hotel,2015,2,4,120,12,12604,7
The Lord of the Rings: Journeys in Middle-Earth,2019,1,5,120,14,8822,8
Patchwork,2014,2,2,30,8,46536,7
Raiders of the North Sea,2015,2,4,80,12,15990,7
Russian Railroads,2013,2,4,120,12,14845,7
Tigris & Euphrates,1997,2,4,90,12,25321,7
Codenames,2015,2,8,15,14,67688,7
Roll for the Galaxy,2014,2,5,45,13,26421,7
Trajan,2011,2,4,120,12,14728,7
Lorenzo il Magnifico,2016,2,4,120,12,9140,7
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,1,8,120,13,17236,7
Dominion,2008,2,4,30,13,78089,7
Pandemic,2008,2,4,45,8,102214,7
Pandemic: Iberia,2016,2,5,45,8,8359,7
Champions of Midgard,2015,2,4,90,10,13345,7
Decrypto,2018,3,8,45,12,11690,7
Kemet,2012,2,5,120,13,16277,7
Yokohama,2016,2,4,90,14,8865,7
Clank! In! Space!: A Deck-Building Adventure,2017,2,4,90,12,9188,7
Forbidden Stars,2015,2,4,180,14,7516,7
Inis,2016,2,4,90,14,12665,7
The Isle of Cats,2019,1,4,90,8,6450,8
Star Wars: X-Wing Miniatures Game,2012,2,2,45,14,23061,7
Alchemists,2014,2,4,120,13,18250,7
Stone Age,2008,2,4,90,10,44975,7
Legendary Encounters: An Alien Deck Building Game,2014,1,5,60,17,11251,7
Vinhos Deluxe Edition,2016,1,4,135,14,4245,8
Endeavor: Age of Sail,2018,2,5,90,13,6265,8
Star Realms,2014,2,2,20,12,35947,7
Descent: Journeys in the Dark (Second Edition),2012,1,5,120,14,22715,7
Cartographers,2019,1,100,45,10,10754,7
Res Arcana,2019,2,4,60,12,9719,7
Age of Steam,2002,1,6,120,13,8871,7
Istanbul,2014,2,5,60,10,25234,7
Ticket to Ride: Europe,2005,2,5,60,8,58608,7
Dead of Winter: A Crossroads Game,2014,2,5,120,13,39287,7
Targi,2012,2,2,60,12,14592,7
War of the Ring,2004,2,4,120,12,9935,7
Chaos in the Old World,2009,3,4,120,13,14297,7
Welcome To...,2018,1,100,25,10,17370,7
That's Pretty Clever!,2018,1,4,30,8,14352,7
Trickerion: Legends of Illusion,2015,2,4,180,14,6665,7
The Lord of the Rings: The Card Game,2011,1,2,60,13,20805,7
Railways of the World,2005,2,6,120,10,11039,7
The Resistance: Avalon,2012,5,10,30,13,27134,7
Aeon's End: War Eternal,2017,1,4,60,14,3191,8
Dinosaur Island,2017,1,4,120,8,11559,7
PARKS,2019,1,5,60,10,7275,7
A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,14,28650,7
Castles of Mad King Ludwig,2014,1,4,90,13,22125,7
Eclipse: Second Dawn for the Galaxy,2020,2,6,200,14,2556,8
Jaipur,2009,2,2,30,12,37225,7
Hansa Teutonica,2009,2,5,90,12,11496,7
Memoir '44,2004,2,8,60,8,25720,7
Ora et Labora,2011,1,4,180,13,9770,7
Chronicles of Crime,2018,1,4,90,14,14251,7
Commands & Colors: Ancients,2006,2,2,60,12,7987,7
Cosmic Encounter,2008,3,5,120,12,27396,7
T.I.M.E Stories,2015,2,4,90,12,23729,7
Sagrada,2017,1,4,45,14,26063,7
Xia: Legends of a Drift System,2014,3,5,180,12,7357,7
Suburbia,2012,1,4,90,8,21584,7
This War of Mine: The Board Game,2017,1,6,120,18,8550,7
Azul: Summer Pavilion,2019,2,4,45,8,7039,7
Nations,2013,1,5,200,14,11146,7
Detective: A Modern Crime Board Game,2018,1,5,180,16,7042,7
Near and Far,2017,2,4,120,13,7245,7
Ticket to Ride: Nordic Countries,2007,2,3,60,8,11646,7
Village,2011,2,4,90,12,20255,7
Paths of Glory,1999,2,2,480,14,4539,8
Combat Commander: Europe,2006,2,2,180,12,5391,7
Magic: The Gathering,1993,2,2,20,13,32442,7
Captain Sonar,2016,2,8,60,14,16007,7
Rajas of the Ganges,2017,2,4,75,12,8826,7
Codenames: Duet,2017,2,99,30,11,13985,7
Sekigahara: The Unification of Japan,2011,2,2,180,14,4380,8
Just One,2018,3,7,20,8,11775,7
