nickname,total_turns,first_five_turns_points,max_points_turn,min_points_turn,max_min_difference,winner,lexicon,initial_time_seconds,rating_mode,game_duration_seconds,time left minutes
BondGirl1968,13,179,72,0,72,1,NWL20,1440,RATED,834.0764499,10.098725835000002
STEEBot,12,188,70,18,52,0,CSW21,1260,RATED,676.5727422,9.72378763
STEEBot,15,138,36,0,36,0,NWL20,720,RATED,249.699033,7.83834945
blitztkr,12,69,79,-79,158,0,CSW21,900,RATED,270.7326479,10.487789201666665
JackHKeynes,10,260,79,23,56,0,CSW21,1200,RATED,778.9322522000001,7.017795796666665
BetterBot,14,134,78,3,75,0,CSW21,300,RATED,89.60720611,3.5065465648333336
STEEBot,13,131,74,6,68,0,CSW21,1200,CASUAL,579.0329158,10.349451403333335
Vixie13,12,202,90,9,81,0,CSW21,1200,RATED,353.9885168,14.100191386666665
oranggua,14,91,70,8,62,0,NWL20,1200,RATED,446.8741171,12.552098048333335
SharonVeranda,13,156,90,8,82,1,NWL20,1200,RATED,567.7030649000002,10.538282251666663
HastyBot,11,128,74,16,58,1,CSW21,1200,RATED,160.897635,17.318372749999998
BB-8,14,104,57,6,51,0,ECWL,900,CASUAL,287.4707401,10.208820998333332
BetterBot,15,67,78,0,78,0,CSW21,780,RATED,320.4261241000001,7.659564598333332
HastyBot,19,-2,78,-10,88,0,ECWL,2400,RATED,172.9581568,37.11736405333333
robint,12,150,78,9,69,1,NWL20,1440,RATED,1239.261385,3.345643583333333
BetterBot,15,150,67,7,60,0,NWL20,1200,RATED,355.9353361000001,14.067744398333332
STEEBot,12,205,72,14,58,0,NWL20,1500,RATED,636.906775,14.384887083333332
STEEBot,14,119,68,13,55,0,CSW21,900,CASUAL,206.8699501,11.552167498333334
BetterBot,14,97,86,3,83,0,NWL20,1500,RATED,1433.909066,1.1015155666666676
Sanuthi_Chandrakumar,13,165,75,0,75,0,CSW21,1200,RATED,338.5628099,14.357286501666666
STEEBot,15,104,79,2,77,0,CSW21,1260,RATED,603.595885,10.940068583333334
BetterBot,12,201,86,9,77,0,CSW21,540,RATED,138.881588,6.685306866666667
BetterBot,14,196,78,0,78,0,CSW21,300,RATED,178.752511,2.0207914833333334
BetterBot,15,49,59,4,55,1,CSW21,1200,CASUAL,435.5780029,12.740366618333333
HastyBot,12,151,103,9,94,0,ECWL,900,CASUAL,227.653821,11.20576965
STEEBot,13,106,81,0,81,1,CSW21,1200,CASUAL,1071.473155,2.1421140833333348
talulah,15,54,67,4,63,0,NWL20,1200,CASUAL,158.05267690000005,17.36578871833333
LIMZHEYUAN,14,110,74,4,70,1,CSW21,900,RATED,648.220757,4.196320716666666
BetterBot,11,213,74,8,66,0,CSW21,900,RATED,243.2347929,10.946086785
Churrrro,13,90,86,-10,96,1,NWL20,300,CASUAL,309.8913929,-0.1648565483333338
sbush,13,128,66,4,62,0,NWL20,1200,RATED,574.647949,10.422534183333333
magic29,14,60,72,6,66,0,CSW21,360,RATED,277.3239789,1.3779336850000001
STEEBot,13,134,83,12,71,0,CSW21,3600,CASUAL,243.9658611,55.933902315
BetterBot,12,187,74,17,57,0,CSW21,300,RATED,217.2349279,1.3794178683333334
deathstar,13,164,74,2,72,1,NWL20,600,RATED,347.6061561,4.206564064999999
