trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
409,1.96,1,6.34,2.21,4.38,12.93,1
512,2.43,1,7.8,1.69,0.81,10.3,0
659,2.25,1,8.78,0.0,0.78,9.56,0
627,3.04,1,8.78,0.0,4.44,13.22,1
1482,7.48,1,19.01,0.0,0.78,19.79,0
744,2.51,1,9.26,2.08,1.29,12.63,0
322,1.29,4,5.36,2.47,1.72,9.55,0
1001,9.27,1,18.04,4.81,1.28,24.13,0
569,2.03,6,7.8,4.94,1.2,13.94,0
417,2.2,1,6.82,1.56,0.74,9.12,0
1026,3.7,1,12.19,0.0,0.78,12.97,0
246,0.71,1,4.39,1.43,0.81,6.63,0
1774,11.54,1,24.86,0.0,3.95,28.81,1
999,2.74,2,11.21,1.04,1.69,13.94,0
413,3.54,1,8.78,0.0,0.78,9.56,0
255,1.46,1,4.88,0.0,1.27,6.15,0
1453,3.8,1,15.11,0.0,1.76,16.87,0
988,3.67,1,12.19,0.0,0.78,12.97,0
619,2.25,1,8.29,1.04,0.72,10.05,0
1073,4.18,1,12.68,2.86,0.84,16.38,0
517,3.62,1,8.78,1.04,3.4,13.22,1
2271,9.98,3,26.81,1.95,3.95,32.71,1
1125,7.56,1,18.04,0.0,1.29,19.33,0
64,0.05,1,2.44,7.8,0.78,11.02,0
342,0.72,1,5.36,0.0,0.78,6.14,0
324,2.11,1,6.34,1.43,0.77,8.54,0
879,7.85,1,19.5,0.0,0.29,19.79,0
921,7.6,1,16.09,4.29,1.32,21.7,0
381,3.48,1,8.29,2.73,0.77,11.79,0
1503,4.78,2,16.58,0.0,0.78,17.36,0
816,5.87,2,13.16,2.73,0.84,16.73,0
184,1.43,1,4.39,0.0,0.78,5.17,0
942,3.77,1,11.21,0.0,3.46,14.67,1
1317,8.3,1,18.53,0.0,3.95,22.48,1
1607,4.52,1,17.06,0.0,3.46,20.52,1
720,3.41,1,9.75,0.0,0.78,10.53,0
515,1.77,1,6.82,0.0,1.76,8.58,0
694,1.64,1,8.29,2.86,1.82,12.97,0
332,1.8,1,5.85,0.0,0.78,6.63,0
209,2.74,1,6.34,0.0,1.27,7.61,0
623,3.78,1,9.26,2.73,4.45,16.44,1
511,1.77,1,6.82,1.95,0.73,9.5,0
275,1.59,1,5.36,1.82,3.41,10.59,1
467,2.35,1,7.31,1.82,1.75,10.88,0
1225,12.71,5,24.38,7.02,3.4,34.8,1
597,4.25,1,9.75,3.25,3.52,16.52,1
1023,4.12,1,12.19,0.0,3.46,15.65,1
1262,8.61,1,18.04,0.0,1.27,19.31,0
864,5.15,1,12.19,0.0,0.78,12.97,0
2015,11.7,1,25.84,7.28,3.5,36.62,1
2302,11.81,1,29.25,1.95,0.78,31.98,0
1426,6.76,1,18.04,0.0,1.76,19.8,0
800,4.44,1,11.21,3.12,4.45,18.78,1
330,0.89,1,4.88,0.0,1.76,6.64,0
1181,6.15,1,15.6,3.38,1.26,20.24,0
2069,15.95,1,31.69,2.86,1.82,36.37,0
331,2.03,1,5.85,2.34,1.7,9.89,0
613,2.27,1,7.8,2.73,1.26,11.79,0
1812,8.47,1,29.25,0.0,0.29,29.54,0
396,2.51,1,7.31,2.86,1.82,11.99,0
353,1.8,1,5.85,0.0,1.27,7.12,0
856,3.51,1,11.21,1.82,0.76,13.79,0
433,1.3,1,6.34,0.65,0.81,7.8,0
244,1.13,5,4.39,1.56,1.74,7.69,0
609,2.46,1,8.29,1.82,0.77,10.88,0
501,2.72,1,7.8,0.0,0.78,8.58,0
474,1.93,1,7.31,1.56,0.84,9.71,0
329,1.16,1,5.36,0.0,1.76,7.12,0
126,0.66,1,3.41,0.0,1.27,4.68,0
1235,14.81,1,27.3,8.58,7.17,43.05,0
