"Class","Kids Driving","age","Kids at Home","Years at Job","Parent","Marital Status","Sex","Education","Job","Travel Time","Car Use","Car Type","Red Car","Claim Frequency","License Revoked","Car Age","Home Value","Income","Bluebook Car Value","Old Claim Amount"
0,2,40,2,6,"No","Yes","M","Bachelors","Manager",31,"Commercial","Panel Truck","yes",1,"Yes",11,260592,80395,22770,14003
0,0,55,0,15,"No","Yes","M","Masters","Lawyer",36,"Private","Minivan","no",0,"Yes",14,321843,100308,13430,0
1,2,45,2,12,"Yes","No","M","High School","Blue Collar",68,"Commercial","Minivan","yes",3,"No",1,217907,61705,16710,3618
0,0,53,0,15,"No","Yes","F","Bachelors","Manager",11,"Commercial","Pickup","no",1,"No",10,268417,75184,25540,1037
1,0,53,0,12,"No","Yes","F","High School","Clerical",21,"Private","SUV","no",2,"No",6,97541,25972,10860,2457
0,0,41,2,17,"No","Yes","M","PhD","Lawyer",16,"Private","Van","yes",0,"Yes",8,243198,65901,16570,0
0,0,42,0,7,"No","Yes","M","<High School","Blue Collar",63,"Private","Pickup","yes",2,"No",6,237130,70141,9110,1744
0,0,41,0,0,"No","Yes","F","High School","Student",13,"Private","SUV","no",0,"No",5,0,0,11320,0
0,0,36,2,12,"Yes","No","F","High School","Clerical",38,"Private","SUV","no",0,"No",1,0,25282,11160,0
1,0,35,2,14,"No","Yes","F","High School","Blue Collar",45,"Commercial","SUV","no",1,"No",7,159239,29250,9170,1881
1,0,47,1,10,"Yes","No","F","Bachelors","Blue Collar",45,"Commercial","SUV","no",2,"Yes",10,0,82633,14460,15697
1,1,57,2,16,"No","Yes","F","PhD","Doctor",53,"Private","Pickup","no",3,"No",13,474628,193618,41440,1277
0,0,34,3,17,"No","Yes","M","High School","Blue Collar",65,"Commercial","Minivan","yes",4,"No",10,100773,17949,20060,10821
0,0,42,4,14,"Yes","No","M","<High School","Clerical",31,"Private","SUV","no",0,"No",1,103267,22225,18780,0
0,0,41,0,13,"No","Yes","F","Masters","Lawyer",22,"Private","SUV","no",0,"No",17,280181,125603,18160,0
0,0,47,0,8,"No","No","M","High School","Clerical",24,"Private","Van","yes",0,"No",1,0,51624,20500,0
1,0,62,0,14,"No","Yes","F","Bachelors","Professional",32,"Private","Sports Car","no",1,"No",1,238759,67112,18300,8363
0,2,45,3,7,"No","Yes","F","Masters","Lawyer",5,"Private","SUV","no",2,"Yes",10,241791,65750,14980,20038
0,0,41,0,11,"No","No","F","High School","Professional",40,"Private","SUV","no",1,"No",1,195292,51765,5600,5259
0,0,42,0,7,"No","Yes","F","Masters","Lawyer",29,"Private","SUV","no",0,"No",17,450858,178453,24790,0
0,0,43,3,0,"No","Yes","F","High School","Student",62,"Private","SUV","no",0,"No",1,0,0,12410,0
0,0,42,0,12,"No","Yes","F","<High School","Blue Collar",11,"Private","SUV","no",0,"No",1,163671,55507,7050,0
1,0,47,0,7,"No","No","F","High School","Blue Collar",27,"Commercial","SUV","no",2,"Yes",5,0,44812,6200,43405
0,0,49,0,13,"No","Yes","F","High School","Blue Collar",14,"Commercial","Pickup","no",2,"No",1,288808,99493,23030,6980
0,0,63,0,15,"No","Yes","M","High School","Manager",47,"Private","SUV","yes",0,"No",8,183403,39247,20960,0
1,2,44,2,11,"Yes","No","F","Bachelors","Manager",38,"Private","Minivan","no",2,"No",7,0,104682,25950,8543
1,0,27,1,10,"Yes","No","F","Bachelors","Student",28,"Commercial","Sports Car","no",3,"No",8,0,20972,6640,7186
0,0,45,0,11,"No","No","M","High School","Blue Collar",56,"Commercial","Van","no",0,"No",8,259295,67095,19420,0
1,0,40,0,3,"No","Yes","M","Bachelors","Professional",35,"Commercial","Panel Truck","yes",2,"No",9,302340,101059,23780,3808
1,0,44,2,0,"Yes","No","F","PhD","Doctor",39,"Private","Minivan","no",3,"No",17,0,0,23570,1380
0,0,57,0,15,"No","Yes","F","Bachelors","Manager",21,"Private","Minivan","no",0,"No",11,334600,98323,20920,0
0,0,49,0,8,"No","Yes","F","<High School","Home Maker",35,"Private","Sports Car","no",3,"No",1,117420,1133,6400,5761
0,0,43,0,10,"No","Yes","F","Bachelors","Blue Collar",72,"Commercial","SUV","no",0,"No",14,233968,57018,13540,0
0,0,53,0,15,"No","No","M","Masters","Manager",14,"Private","Minivan","no",0,"No",14,247537,72403,24140,0
0,0,50,0,10,"No","No","M","Bachelors","Manager",33,"Commercial","Panel Truck","no",0,"No",8,270997,94403,29750,0
0,0,57,0,13,"No","No","F","<High School","Student",63,"Private","SUV","no",1,"No",6,0,11322,8330,5732
1,0,48,0,9,"No","No","M","High School","Blue Collar",12,"Commercial","Panel Truck","no",3,"No",1,242830,77344,24680,3319
0,0,52,0,6,"No","No","F","<High School","Clerical",56,"Private","SUV","no",0,"No",5,0,21802,8880,0
1,0,57,0,8,"No","Yes","F","High School","Blue Collar",30,"Commercial","SUV","no",2,"No",7,308350,81767,15570,4734
0,0,57,0,9,"No","Yes","M","<High School","Clerical",73,"Private","Pickup","yes",0,"No",1,165896,26222,6800,0
1,0,48,0,14,"No","Yes","F","Bachelors","Blue Collar",61,"Commercial","SUV","no",1,"No",7,246612,96659,18490,4906
1,0,61,0,13,"No","Yes","F","Bachelors","Professional",23,"Private","Sports Car","no",2,"Yes",18,173790,28350,21180,9637
0,1,43,2,13,"No","Yes","M","<High School","Blue Collar",79,"Commercial","Minivan","no",0,"No",6,165388,45784,14820,0
0,0,45,0,14,"No","Yes","M","High School","Blue Collar",36,"Private","Minivan","yes",0,"No",1,190128,68958,13860,0
1,0,51,0,12,"No","No","F","High School","Blue Collar",58,"Commercial","Sports Car","no",3,"No",5,0,67452,21600,4075
